chunk_id,cluster,x,y,doc_name,record_type,module,title
14-50,2,3.374,15.667,Compilado de Rotinas da Brisa.docx,documentacao,,"infinity appliques, pedidos aptos, validação do fluxo"
14-51,2,3.346,15.710,Compilado de Rotinas da Brisa.docx,documentacao,,"parâmetros no painel, transportadoras luiza barcelos, sku e lote"
15-0,-1,-0.703,8.734,ENGENHARIA REVERSA.docx,documentacao,,ADMI102 — ENGENHARIA REVERSA
16-0,8,3.406,13.489,Manual Frete (2).docx,documentacao,,Tela 31 (ADMI104) — Passado a passo de como utilizar a rotina de Fretes PASTAS
16-1,8,3.422,13.509,Manual Frete (2).docx,documentacao,,Arquivo em Hyperlink abaixo
16-2,8,3.304,13.390,Manual Frete (2).docx,documentacao,,"ADMI102 — conhecimento xml, sistema irá, tabela pela lógica"
16-3,8,3.280,13.339,Manual Frete (2).docx,documentacao,,"ADMI103 — fórmula de cálculo, tabela pela lógica, marcado é inserido"
17-0,-1,2.931,13.375,edi_doccob_3.0.pdf,documentacao,,DOCCOB 3.0 – DOCUMENTO DE COBRANÇA
17-1,5,1.895,13.483,edi_doccob_3.0.pdf,documentacao,,"cobrança de conhecimento, identificação da caixa, posição status notas"
17-2,5,1.869,13.486,edi_doccob_3.0.pdf,documentacao,,"documento de cobrança, posição status notas, preencher com brancos"
17-3,5,1.854,13.485,edi_doccob_3.0.pdf,documentacao,,"pontos e hífen, cobrança de conhecimento, posição status notas"
18-0,51,-2.426,5.139,edi_conemb_3.0.pdf,documentacao,,Página: 1 PROJETO EDI TRANSPORTE
18-1,-1,2.758,13.304,edi_conemb_3.0.pdf,documentacao,,"número de casas, tamanho total, layout da mensagem"
18-2,6,-1.142,4.136,edi_conemb_3.0.pdf,documentacao,,"identificação do remetente, gerador para armazenar, base de dados"
18-3,6,-1.035,4.004,edi_conemb_3.0.pdf,documentacao,,"gerador para armazenar, identificação da caixa, dados do sistema"
18-4,-1,-2.731,5.165,edi_conemb_3.0.pdf,documentacao,,"uso da aplicação, ddmmaa, hhmm"
18-5,-1,-2.570,5.233,edi_conemb_3.0.pdf,documentacao,,"identificação do intercâmbio, constante conhecimento, hora minuto"
18-6,5,1.891,13.490,edi_conemb_3.0.pdf,documentacao,,"posição status notas, preencher com brancos, conhecimentos embarcados preenchimento"
18-7,5,1.827,13.519,edi_conemb_3.0.pdf,documentacao,,"série da nota, conhecimentos embarcados tamanho, preencher apenas"
19-0,-1,0.711,11.686,Documentação Desenvolvimento.pdf,documentacao,,Como Fazemos Padrões de nomenclatura
19-1,-1,0.726,11.588,Documentação Desenvolvimento.pdf,documentacao,,"ADMI100 — tabela estoque futuro, debug, objeto"
19-2,-1,1.008,11.844,Documentação Desenvolvimento.pdf,documentacao,,ADMI68 — Como Fazemos 9
20-0,-1,2.786,13.315,importacao_edi_notfis.pdf,documentacao,,1 http://www.visualset.com.br/ PROJETO EDI TRANSPORTE
20-1,5,1.878,13.483,importacao_edi_notfis.pdf,documentacao,,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: MANDATÓRIO
20-2,5,1.838,13.467,importacao_edi_notfis.pdf,documentacao,,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: MANDATÓRIO
20-3,5,1.843,13.479,importacao_edi_notfis.pdf,documentacao,,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: MANDATÓRIO
20-4,5,1.850,13.476,importacao_edi_notfis.pdf,documentacao,,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: MANDATÓRIO
20-5,5,1.872,13.483,importacao_edi_notfis.pdf,documentacao,,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: CONDICIONAL
20-6,5,1.848,13.475,importacao_edi_notfis.pdf,documentacao,,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: CONDICIONAL
20-7,5,1.854,13.475,importacao_edi_notfis.pdf,documentacao,,FILLER A 6 235 C PREENCHER COM BRANCOS
21-0,4,2.667,12.104,Documentacao_Kunden_PDV.pdf,documentacao,,Usuários (ADMI1) — Kunden PDV 1 Configurações Gerais
21-1,4,2.639,12.079,Documentacao_Kunden_PDV.pdf,documentacao,,"Gravar ID da Regra de Tributação Especial (ADMI66) — operações de baixa, caixa banco, pdv"
21-2,4,2.661,12.096,Documentacao_Kunden_PDV.pdf,documentacao,,"Venda (EPRO61) — produtos para balança, geração da nota, pdv"
21-3,4,2.636,12.088,Documentacao_Kunden_PDV.pdf,documentacao,,"EPRO1 — campos: Cód, QTD, QTD (ex, FORMA DE PAGAMENTO"
22-0,-1,-0.030,12.828,S-3000.pdf,documentacao,,Envio do evento S-3000
23-0,-1,0.317,12.800,RHUM9.pdf,documentacao,RHUM,RHUM9 — RHUM9 1 1. Erro
24-0,-1,0.046,12.756,S-2240.pdf,documentacao,,FPAG186 — Erros S-2240 Esocial 1 1. Erro
25-0,-1,0.184,12.759,REAJUSTE SALARIO PARA TODOS FUNCIONARIOS.pdf,documentacao,,FPAG93 — REAJUSTE SALARIO PARA TODOS FUNCIONARIOS
26-0,-1,-2.579,7.633,Cadastro de Jornada de Trabalho.pdf,documentacao,,RHUM8 — Cadastro de Jornada de Trabalho
27-0,-1,0.182,12.765,Calculo de Rescisões Complementares.pdf,documentacao,,FPAG23 — Calculo de Rescisões Complementares
28-0,-1,0.461,7.431,cBenef.pdf,documentacao,,"Gravar ID da Regra de Tributação Especial (ADMI66) — beneficio fiscal, cbenef, regra de tributação"
28-1,137,0.439,7.529,cBenef.pdf,documentacao,,LFIS23 — Emitindo NFe com cBenef
29-0,-1,0.314,12.914,COMO CADASTRAR UM CARGO.pdf,documentacao,,FPAG8 — COMO CADASTRAR UM CARGO
30-0,71,3.126,13.241,Consulta e Configuração de VT.pdf,documentacao,,FPAG1 — Consulta e Configuração de VT
31-0,-1,0.060,12.752,Envio do S-1010.pdf,documentacao,,"FPAG137 — campos: Operação, Ind, Enviar"
32-0,-1,-2.239,8.692,IMPORTAÇÃO DE LANÇAMENTOS CONTABEIS.pdf,documentacao,,CONT12 — IMPORTAÇÃO DE LANÇAMENTOS CONTÁBEIS
33-0,137,0.721,7.383,IMPORTACAO_FATU124.pdf,documentacao,,Pedido de Compras (COMP3) — RECEBIMENTO DE PEDIDOS DE COMPRA ATRAVÉS DO FATU124
34-0,-1,-2.287,7.723,INFORMADO CENTRO DE TRABALHO ERRADO PARA ADMISSAO DE FUNCIONARIO.pdf,documentacao,,FPAG19 — INFORMADO CENTRO DE TRABALHO ERRADO PARA ADMISSAO DE FUNCIONARIO
35-0,124,2.456,11.017,Instruções iVendre Android - Frigolaste.pdf,documentacao,,"Cadastro de Usuários (ADMI260) — usuário e senha, cima do arquivo, acesso ao ivendre"
36-0,-1,-3.784,11.106,JORNADA DE TRABALHO.pdf,documentacao,,RHUM11 — Jornada de Trabalho
37-0,124,2.301,11.147,Manual iVendre - Criar usuário - Terra & Água.pdf,documentacao,,Cadastro de Usuários (ADMI260) — Manual iVendre - Criar usuário - Terra & Água
39-0,69,-0.438,6.789,Manual para Integração Arezzo.pdf,documentacao,,"ADMI122 — algum log, pedidos arezzo, produto na empresa"
40-0,111,1.257,10.915,PEDIDO DE VENDA - PEDI1.pdf,documentacao,PEDI,Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDI1
41-0,-1,-0.861,10.632,23316_Control de Lote_Flujo de Producción hasta picking para embarque.docx,documentacao,,ADMI145 — Control de Lote_Flujo de Producción hasta picking para embarque
42-0,-1,-0.959,12.621,Agendador de tarefas - ADMI63.docx,documentacao,ADMI,Agendador de Tarefas (ADMI63) — ROTINA: Administração
43-0,-1,-4.498,12.358,Back-Flush materiais.docx,documentacao,,"produção da ordem, produto nas quantidades, back-flush de baixa"
43-1,88,-4.421,12.022,Back-Flush materiais.docx,documentacao,,"Componente (EPRO14) — back-flush dos materiais, apresentadas as seguintes, recurso do apontamento"
44-0,-1,-0.468,8.037,Beneficiamento com nota triangular.docx,documentacao,,"Consulta Estoque Produto (ESTO7) — rotina beneficiamento recebendo, material para beneficiar, situação do estoque"
44-1,41,-3.934,4.369,Beneficiamento com nota triangular.docx,documentacao,,"Aqui, mais um exemplo de Estoque em Depósito, advindo de um rece"
44-2,-1,-0.296,8.401,Beneficiamento com nota triangular.docx,documentacao,,"Programas (ADMI6) — recebimento de nota, utilizado o material, retorno e faturamento"
45-0,-1,-0.856,10.097,Bloco K Simplificado.docx,documentacao,,"Contábil Fiscal (EPRO57) — vinculadas aos produtos, saldos de terceiros, encerramento dos estoques"
46-0,48,-2.196,6.390,Como alterar o representante do cliente.docx,documentacao,,"Alteração de Clientes (ADMI232) — clientes que deseja, mostrar o passo, representantes serão"
47-0,90,-3.672,12.537,Configuração Apont. WEB.docx,documentacao,,"Usuários (ADMI1) — valida caracteres minúsculos, usuário modelo coletor, realize o apontamento"
47-1,-1,-3.026,5.717,Configuração Apont. WEB.docx,documentacao,,"volta à página, continuar a nova, apontamento de algum"
48-0,77,1.157,11.781,Configuração de Email - ADMI265.docx,documentacao,ADMI,"ADMI265 — conta de e-mail, diretorio padrao, texto padrão"
49-0,10,-5.561,10.059,CONFIGURAÇÕES BLOCO K.docx,documentacao,,Localização (ADMI44) — CONFIGURAÇÕES BLOCO K Parâmetro Geral 50148
51-0,-1,0.571,8.011,Documentação GTIN.docx,documentacao,,"ADMI125 — nota de faturamento, informações do produto, separação dos produtos"
52-0,-1,0.030,12.813,Documento Padrão erros Esocial.docx,documentacao,,"FPAG186 — agente nocivo, vinculado ao funcionário, enquadramento do esocial"
53-0,21,-2.382,11.813,Estrutura de Produto.docx,documentacao,,ESTRUTURA DE PRODUTO
53-1,57,-2.454,12.083,Estrutura de Produto.docx,documentacao,,"produto material, marca coleção modelo, dados serão utilizados"
53-2,21,-2.403,11.752,Estrutura de Produto.docx,documentacao,,"utilizado para indicar, imprimir material, variação de grade"
53-3,21,-2.727,11.645,Estrutura de Produto.docx,documentacao,,"utilizado para dizer, lote máximo cálculo, quantidade máxima"
53-4,21,-2.622,11.662,Estrutura de Produto.docx,documentacao,,"utilizado para dizer, contábil fiscal, próximo do vencimento"
53-5,21,-2.046,11.300,Estrutura de Produto.docx,documentacao,,"plano produção data, maior ou menor, amostragem visual"
53-6,21,-2.331,11.478,Estrutura de Produto.docx,documentacao,,"indicar quantidade, prazo mínimo, controle cotas"
54-0,71,-4.986,8.825,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,Administração Cadastros Parâmetros (ADMI8) — FPV_ Desenvolvimentos a partir do patch 191 – Funcionalidades novas
54-1,71,-5.241,8.585,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,"Markup (FVEN3) — vincular as ddvs, usado na argentina, prazo e margem"
54-2,71,-5.093,8.837,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,EPRO21 — FVEN9 Solicitado pela Pegada
54-3,41,-3.730,4.339,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,"Grupo de Tarifa pelo programa Tarifas FPV (FVEN10) — utiliza as taifas, usar a nova, vend"
54-4,71,-5.141,8.841,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,"ADMI36 — tarifa será usado, venda daqui coluna, subdivisões de cod"
54-5,71,-5.069,8.863,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,Configurador de Produto (EPRO28) — Programa EPRO28 para fazer a aprovação para calculo de Custos
54-6,71,-5.114,8.830,FPV_Desenvolvimentos a partir do patch 191 - Funcionalidades novas.docx,documentacao,,"Configurador de Produto (EPRO28) — Calculo, FVEN5"
56-0,124,2.256,11.334,iVendre iOS Documentação.docx,documentacao,,"Pedido de Venda (PEDI1) — imagens fotos, produtos no ipad, produto em ficha"
56-1,124,2.311,11.299,iVendre iOS Documentação.docx,documentacao,,Administração Cadastros Parâmetros (ADMI8) — C:\Web\ KundenAPI \API\public\images\produtos
56-2,124,2.331,11.236,iVendre iOS Documentação.docx,documentacao,,ADICIONAR IMAGENS / FOTOS AOS PRODUTOS NA CARRANO (HENRICH)
56-3,124,2.330,11.231,iVendre iOS Documentação.docx,documentacao,,"categoria de pedidos, aparece no ipad, painel do ivendre"
57-0,-1,-3.173,4.831,Manual Condição de Pagamento.docx,documentacao,,Condições de Pagamento (ADMI19) — Manual Condição de Pagamento ( ADMI19 )
59-0,51,-2.811,5.698,Importação de Notas Cake.docx,documentacao,,Instrução de Funcionamento
60-0,41,-4.245,4.454,MANUAL_NOVO_MONITOR.docx,documentacao,,KUNDEN SYSTEMS MANUAL DE ORIENTAÇÃO Alterações NFE 4.0
60-1,23,-3.377,5.439,MANUAL_NOVO_MONITOR.docx,documentacao,,"ADMI122 — deverão ser realizadas, configurações de serviços, documentos fiscais eletrônicos"
60-2,23,-0.256,11.900,MANUAL_NOVO_MONITOR.docx,documentacao,ADMI,"Administração Cadastros Parâmetros (ADMI8) — utilização do monitor, unidades de negócio, administração cadastros parâmetros"
60-3,23,0.249,7.073,MANUAL_NOVO_MONITOR.docx,documentacao,ADMI,"ADMI122 — nfs-e md-e mdf-e, monitor protocolos result, leitura de arquivos"
60-4,-1,0.312,7.112,MANUAL_NOVO_MONITOR.docx,documentacao,FATU,"FATU146 — gravação e leitura, documento fiscal eletrônico, senha de acesso"
60-5,-1,0.331,7.146,MANUAL_NOVO_MONITOR.docx,documentacao,FATU,"FATU146 — notas fiscais eletrônicas, produtos na impressão, pasta onde serão"
60-6,-1,0.303,7.077,MANUAL_NOVO_MONITOR.docx,documentacao,FATU,"FATU146 — validade do certificado, serviços de df-e, xml que serão"
61-0,-1,0.061,12.771,MODULO E-SOCIAL.docx,documentacao,,"FPAG137 — campos: Operação, Ind, Enviar, E"
61-1,-1,-0.010,12.859,MODULO E-SOCIAL.docx,documentacao,,"realizar a exclusão, eventos periódicos, envio do evento"
62-0,111,0.657,11.242,Passo a Passo API Labelli 1.docx,documentacao,,ADMI122 — Objetivo Acesso Solicitações Detalhamento das Solicitações
62-1,-1,0.626,11.168,Passo a Passo API Labelli 1.docx,documentacao,,"Pessoas Físicas/Jurídicas (ADMI34) — interface api, excluida da tabela, ele não reimporta"
62-2,-1,0.509,10.725,Passo a Passo API Labelli 1.docx,documentacao,,"Condições de Pagamento (ADMI19) — saldo na localização, categoria de entrega, tabela api controle"
63-0,-1,-1.885,11.037,Pedido de Compra – COMP3 - 160419.docx,documentacao,COMP,Pedido de Compras (COMP3) — Pedido de Compra – COMP 3 Rotina
64-0,-1,-3.783,11.280,Planejamento – MPSP2.docx,documentacao,MPSP,Planejamento (MPSP2) — PLANEJAMENTO – MPSP2 Rotina
65-0,-1,-2.284,11.080,Plano de Necessidade de Compras – COMP13 160419.docx,documentacao,COMP,Plano de Necessidades de Compras (COMP13) — Plano de Necessidade de Compras – COMP13 Rotina
66-0,119,-4.744,11.269,Plano de Produção – MPSP5.docx,documentacao,MPSP,Plano de Produção (MPSP5) — PLANO DE PRODUÇÃO – MPSP5 Rotina
67-0,-1,0.974,11.810,Programas - ADMI6.docx,documentacao,ADMI,"Programas (ADMI6) — nível da árvore, xxxxxxxxxxxxxxxxxxxxxxxxxxxxx, parâmetros inicialização"
68-0,36,0.207,10.631,Projeto Controle de Embarque.docx,documentacao,,Nota Fiscal de Saída (FATU2) — Rotina do Controle de Embarque
68-1,36,0.445,10.784,Projeto Controle de Embarque.docx,documentacao,,"Pessoas Físicas/Jurídicas (ADMI34) — criação do controle, for digitado, usuário estiver criando"
68-2,36,0.245,10.671,Projeto Controle de Embarque.docx,documentacao,,"controle de embarque, placa do veículo, usuário estiver criando"
68-3,36,0.218,10.647,Projeto Controle de Embarque.docx,documentacao,,"chave da nota, controle de embarque, saldo que falta"
68-4,36,0.201,10.640,Projeto Controle de Embarque.docx,documentacao,,Campos de informação da nota
68-5,36,0.106,10.643,Projeto Controle de Embarque.docx,documentacao,,"Emissão Rotulos Nota Fiscal (FATU107) — apontados pelo usuário, somente os rótulos, quantidade do rótulo"
